,Price,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Color,Airbags
0,13328,LEXUS,2010,Jeep,Yes,Hybrid,186005 km,6.0,Automatic,Silver,12
1,16621,CHEVROLET,2011,Jeep,No,Petrol,192000 km,6.0,Tiptronic,Black,8
2,8467,HONDA,2006,Hatchback,No,Petrol,200000 km,4.0,Variator,Black,2
3,3607,FORD,2011,Jeep,Yes,Hybrid,168966 km,4.0,Automatic,White,2
4,11726,HONDA,2014,Hatchback,Yes,Petrol,91901 km,4.0,Automatic,Silver,4
5,39493,HYUNDAI,2016,Jeep,Yes,Diesel,160931 km,4.0,Automatic,White,4
6,1803,TOYOTA,2010,Hatchback,Yes,Hybrid,258909 km,4.0,Automatic,White,12
8,1098,TOYOTA,2014,Sedan,Yes,Hybrid,398069 km,4.0,Automatic,Black,12
9,26657,LEXUS,2007,Jeep,Yes,Petrol,128500 km,6.0,Automatic,Silver,12
11,8781,FORD,1999,Microbus,No,CNG,128500 km,8.0,Manual,Blue,12
12,3000,OPEL,1997,Goods wagon,No,CNG,350000 km,4.0,Manual,White,4
13,1019,LEXUS,2013,Jeep,Yes,Hybrid,138038 km,6.0,Automatic,White,12
14,59464,HYUNDAI,2016,Jeep,Yes,Diesel,76000 km,4.0,Automatic,White,4
16,7683,HYUNDAI,2016,Sedan,Yes,Petrol,121840 km,4.0,Automatic,Blue,12
17,28382,HYUNDAI,2016,Sedan,Yes,Petrol,54317 km,4.0,Automatic,White,4
20,18826,HYUNDAI,2012,Sedan,Yes,Petrol,112645 km,4.0,Automatic,Silver,4
21,20698,TOYOTA,2012,Sedan,Yes,Plug-in Hybrid,187000 km,4.0,Automatic,White,12
22,17562,TOYOTA,2017,Sedan,Yes,Petrol,39709 km,4.0,Automatic,Black,12
23,7840,FORD,2001,Microbus,No,Diesel,230000 km,4.0,Manual,White,12
24,4704,OPEL,1995,Sedan,No,Petrol,230000 km,4.0,Automatic,Green,4
25,20385,MERCEDES-BENZ,2006,Sedan,Yes,Diesel,210000 km,4.0,Tiptronic,Black,8
28,14454,HYUNDAI,2011,Sedan,Yes,Petrol,158787 km,4.0,Automatic,Silver,4
29,12074,TOYOTA,2009,Jeep,Yes,Hybrid,420550 km,6.0,Automatic,Blue,12
30,15681,MERCEDES-BENZ,2007,Goods wagon,No,Diesel,180000 km,6.0,Manual,White,4
31,19444,PORSCHE,2014,Jeep,Yes,Diesel,175056 km,6.0,Automatic,White,12
32,6899,BMW,2000,Jeep,Yes,CNG,200000 km,8.0,Automatic,Silver,6
34,24462,JEEP,2007,Jeep,Yes,Diesel,250000 km,6.0,Tiptronic,Black,10
35,23235,HYUNDAI,2011,Jeep,Yes,Diesel,162000 km,4.0,Automatic,Grey,4
36,51746,TOYOTA,2019,Jeep,No,Petrol,10200 km,4.0,Tiptronic,Red,12
37,7527,HONDA,2010,Hatchback,No,Hybrid,158000 km,4.0,Automatic,Black,4
38,19121,HYUNDAI,2012,Sedan,Yes,Petrol,103490 km,4.0,Automatic,Silver,4
40,24462,TOYOTA,2013,Sedan,Yes,Petrol,203200 km,4.0,Automatic,Blue,4
41,45734,HYUNDAI,2016,Universal,Yes,Diesel,61057 km,4.0,Automatic,Black,4
42,20165,VOLKSWAGEN,2016,Sedan,Yes,Petrol,11200 km,4.0,Tiptronic,Black,8
43,21326,HYUNDAI,2014,Sedan,Yes,Hybrid,141000 km,4.0,Tiptronic,White,12
46,15681,TOYOTA,2012,Hatchback,No,Hybrid,128000 km,4.0,Variator,Sky blue,8
47,55390,HYUNDAI,2017,Jeep,Yes,Diesel,100734 km,4.0,Automatic,Black,4
48,12544,TOYOTA,2012,Hatchback,No,Hybrid,141500 km,4.0,Automatic,Black,8
49,17249,FORD,2008,Jeep,No,Hybrid,147000 km,4.0,Variator,White,8
50,34889,HONDA,2016,Sedan,Yes,Petrol,87768 km,4.0,Automatic,Blue,4
52,14583,RENAULT,2008,Sedan,No,Diesel,132542 km,4.0,Manual,White,10
54,38500,AUDI,2014,Jeep,Yes,Petrol,87000 km,1.0,Tiptronic,White,12
55,8781,MERCEDES-BENZ,2001,Coupe,No,Petrol,260000 km,4.0,Manual,Blue,12
56,87112,MERCEDES-BENZ,2019,Jeep,Yes,Petrol,5323 km,4.0,Tiptronic,Grey,12
57,1411,NISSAN,2015,Jeep,Yes,Petrol,87112 km,4.0,Automatic,Black,12
59,23521,CHEVROLET,2018,Sedan,No,Petrol,22000 km,4.0,Automatic,Red,6
60,16935,FORD,2013,Sedan,No,Petrol,83000 km,4.0,Tiptronic,Silver,8
61,10349,TOYOTA,2007,Minivan,Yes,Petrol,170000 km,4.0,Automatic,Black,6
62,7213,NISSAN,2013,Jeep,Yes,Petrol,312118 km,4.0,Automatic,Black,6
63,5331,MERCEDES-BENZ,2004,Sedan,No,Petrol,130000 km,4.0,Tiptronic,Black,6
64,20526,HYUNDAI,2013,Jeep,Yes,Diesel,200279 km,4.0,Automatic,Grey,4
65,9722,HYUNDAI,2015,Sedan,Yes,LPG,719847 km,4.0,Automatic,Orange,4
66,34657,HYUNDAI,2014,Minivan,Yes,Diesel,154672 km,4.0,Automatic,Silver,4
67,36564,HYUNDAI,2016,Minivan,Yes,Diesel,110969 km,4.0,Automatic,Black,4
69,5488,TOYOTA,2001,Hatchback,No,Petrol,210000 km,4.0,Manual,Sky blue,3
70,30063,HYUNDAI,2015,Universal,Yes,Diesel,148105 km,4.0,Automatic,Silver,4
71,15800,CHEVROLET,2011,Jeep,Yes,Diesel,255456 km,4.0,Automatic,Silver,4
72,43952,HYUNDAI,2017,Universal,Yes,Diesel,111643 km,4.0,Automatic,Grey,4
73,53154,HYUNDAI,2016,Jeep,Yes,Diesel,84506 km,4.0,Automatic,Silver,4
74,14740,TOYOTA,2011,Hatchback,No,Hybrid,288000 km,4.0,Automatic,White,8
75,42337,FORD,2016,Cabriolet,Yes,Petrol,75000 km,4.0,Tiptronic,Silver,6
76,3763,MERCEDES-BENZ,2014,Jeep,Yes,Petrol,94362 km,6.0,Automatic,White,12
77,18189,TOYOTA,2012,Sedan,No,Petrol,175000 km,4.0,Automatic,Silver,8
80,5645,TOYOTA,2010,Jeep,Yes,Hybrid,264877 km,6.0,Automatic,White,12
81,7527,TOYOTA,2019,Sedan,Yes,Petrol,27656 km,4.0,Automatic,White,12
82,21953,HONDA,2014,Sedan,No,Hybrid,16000 km,8.0,Automatic,White,10
83,8154,HONDA,1998,Jeep,No,Petrol,16000 km,4.0,Automatic,White,2
84,21953,TOYOTA,2012,Sedan,No,Petrol,195053 km,4.0,Automatic,Black,2
85,19121,HYUNDAI,2012,Sedan,Yes,Petrol,121362 km,4.0,Automatic,Black,4
86,36065,HYUNDAI,2014,Jeep,Yes,Diesel,69191 km,4.0,Automatic,White,4
87,8781,HONDA,2012,Hatchback,Yes,Hybrid,83000 km,4.0,Tiptronic,Green,12
88,6247,CHEVROLET,2010,Sedan,Yes,Petrol,40772 km,4.0,Automatic,Black,4
89,16289,CHEVROLET,2012,Jeep,Yes,Diesel,172000 km,4.0,Automatic,Grey,4
90,77775,MERCEDES-BENZ,2014,Jeep,Yes,Petrol,433811 km,8.0,Automatic,Black,10
91,2822,BMW,1995,Sedan,Yes,Petrol,350000 km,6.0,Manual,Blue,2
93,6981,DAEWOO,2008,Sedan,Yes,Petrol,103246 km,4.0,Automatic,Black,4
94,27284,HYUNDAI,2016,Sedan,No,Petrol,105394 km,4.0,Tiptronic,Black,12
95,32929,BMW,2013,Coupe,Yes,Petrol,160000 km,4.0,Automatic,Black,12
96,18817,NISSAN,1990,Jeep,No,Diesel,333333 km,4.0,Manual,Black,12
